world_index,world_timestamp,img_to_surf_trans,surf_to_img_trans,num_detected_markers,dist_img_to_surf_trans,surf_to_dist_img_trans
0,24118.993612000002,"[[ 2.01212920e-03  1.67757662e-04 -1.44062011e+00]
 [ 8.73361147e-05 -3.69834449e-03  2.79380100e+00]
 [-5.44948738e-05  5.40525064e-05  9.93850308e-01]]","[[ 5.13212315e+02  3.28042689e+01  6.51703156e+02]
 [ 3.20601532e+01 -2.57671369e+02  7.70809271e+02]
 [ 2.63968412e-02  1.58126910e-02  1.00000000e+00]]",4,"[[ 2.31712890e-03  7.62717889e-05 -1.64536152e+00]
 [ 2.07034476e-04 -4.26903323e-03  3.04686555e+00]
 [ 5.78762912e-05 -1.04619332e-04  1.03847208e+00]]","[[ 4.15284521e+02 -9.37963231e+00  6.85499076e+02]
 [ 3.90184191e+00 -2.52480729e+02  7.46957758e+02]
 [-2.27516178e-02 -2.49130500e-02  1.00000000e+00]]"
1,24119.040971,"[[ 2.01332591e-03  1.65931556e-04 -1.44084100e+00]
 [ 8.68520038e-05 -3.69883077e-03  2.79548585e+00]
 [-5.44328776e-05  5.26975087e-05  9.94861382e-01]]","[[ 5.12927580e+02  3.23007495e+01  6.52101701e+02]
 [ 3.19743233e+01 -2.57935580e+02  7.71087503e+02]
 [ 2.63706658e-02  1.54300745e-02  1.00000000e+00]]",4,"[[ 2.31804622e-03  7.42262529e-05 -1.64525897e+00]
 [ 2.06291942e-04 -4.26963643e-03  3.04888113e+00]
 [ 5.76185590e-05 -1.06349456e-04  1.03994980e+00]]","[[ 4.15228200e+02 -9.86436877e+00  6.85834268e+02]
 [ 3.92040558e+00 -2.52755849e+02  7.47221284e+02]
 [-2.26048581e-02 -2.53012949e-02  1.00000000e+00]]"
2,24119.088971,"[[ 2.01366640e-03  1.67061054e-04 -1.44153036e+00]
 [ 8.69126446e-05 -3.69711889e-03  2.79485474e+00]
 [-5.35523407e-05  5.41060136e-05  9.93179130e-01]]","[[ 5.12531749e+02  3.26997900e+01  6.51885341e+02]
 [ 3.16371979e+01 -2.57763904e+02  7.71279448e+02]
 [ 2.59122563e-02  1.58055351e-02  1.00000000e+00]]",4,"[[ 2.31904278e-03  7.51224568e-05 -1.64627376e+00]
 [ 2.06686347e-04 -4.26886287e-03  3.04867118e+00]
 [ 5.89264902e-05 -1.05204427e-04  1.03822102e+00]]","[[ 4.14645036e+02 -9.60157635e+00  6.85683758e+02]
 [ 3.52374226e+00 -2.52610889e+02  7.47363582e+02]
 [-2.31770142e-02 -2.50524657e-02  1.00000000e+00]]"
3,24119.134787,"[[ 2.01568612e-03  1.53470550e-04 -1.43273531e+00]
 [ 8.71546187e-05 -3.71395633e-03  2.80728480e+00]
 [-5.24358872e-05  4.00634038e-05  1.00329627e+00]]","[[ 5.11853381e+02  2.81852643e+01  6.52076925e+02]
 [ 3.12878108e+01 -2.59642870e+02  7.71176626e+02]
 [ 2.55019287e-02  1.18410651e-02  1.00000000e+00]]",3,"[[ 2.31924091e-03  5.85185522e-05 -1.63431391e+00]
 [ 2.07069093e-04 -4.28438559e-03  3.05971541e+00]
 [ 5.82117823e-05 -1.22441867e-04  1.05157815e+00]]","[[ 4.15205409e+02 -1.39286997e+01  6.85820479e+02]
 [ 3.98424798e+00 -2.54708128e+02  7.47301467e+02]
 [-2.25204451e-02 -2.88862261e-02  1.00000000e+00]]"
4,24119.180839,"[[ 2.01632628e-03  1.63643202e-04 -1.44314033e+00]
 [ 8.85442751e-05 -3.69845471e-03  2.79433441e+00]
 [-5.31603044e-05  5.23985110e-05  9.94312526e-01]]","[[ 5.11770722e+02  3.18974668e+01  6.53139495e+02]
 [ 3.16642506e+01 -2.58056369e+02  7.71177800e+02]
 [ 2.56928552e-02  1.53044924e-02  1.00000000e+00]]",4,"[[ 2.32054574e-03  7.15973904e-05 -1.64700004e+00]
 [ 2.07487934e-04 -4.26892392e-03  3.04794258e+00]
 [ 5.86071352e-05 -1.07180836e-04  1.03985783e+00]]","[[ 4.14510242e+02 -1.02887633e+01  6.86688052e+02]
 [ 3.74220714e+00 -2.52952438e+02  7.47359787e+02]
 [-2.29763765e-02 -2.54925800e-02  1.00000000e+00]]"
5,24119.225906,"[[ 2.01565201e-03  1.65510501e-04 -1.44430819e+00]
 [ 8.90714623e-05 -3.70044106e-03  2.79462787e+00]
 [-5.32577802e-05  5.25155621e-05  9.94303972e-01]]","[[ 5.11955887e+02  3.21689970e+01  6.53242594e+02]
 [ 3.17653571e+01 -2.57876347e+02  7.70938678e+02]
 [ 2.57440976e-02  1.53431658e-02  1.00000000e+00]]",4,"[[ 2.31906637e-03  7.38078316e-05 -1.64776237e+00]
 [ 2.07670398e-04 -4.27026725e-03  3.04801347e+00]
 [ 5.80244016e-05 -1.06884636e-04  1.04001321e+00]]","[[ 4.14922242e+02 -1.00177199e+01  6.86748396e+02]
 [ 3.94428066e+00 -2.52810935e+02  7.47173561e+02]
 [-2.27439725e-02 -2.54230737e-02  1.00000000e+00]]"
6,24119.268876000002,"[[ 2.01471214e-03  1.66055531e-04 -1.44391195e+00]
 [ 8.98401990e-05 -3.70062423e-03  2.79319405e+00]
 [-5.35867457e-05  5.18822372e-05  9.95018163e-01]]","[[ 5.12288147e+02  3.21448475e+01  6.53166150e+02]
 [ 3.20015068e+01 -2.57984337e+02  7.70646910e+02]
 [ 2.59206775e-02  1.51829815e-02  1.00000000e+00]]",4,"[[ 2.31760326e-03  7.47079885e-05 -1.64720154e+00]
 [ 2.08303146e-04 -4.26955138e-03  3.04599688e+00]
 [ 5.74289432e-05 -1.07147238e-04  1.04059680e+00]]","[[ 4.15360800e+02 -9.96421237e+00  6.86657800e+02]
 [ 4.22081738e+00 -2.52887342e+02  7.46923875e+02]
 [-2.24885209e-02 -2.54891674e-02  1.00000000e+00]]"
7,24119.311411,"[[ 2.01350581e-03  1.65436758e-04 -1.44240739e+00]
 [ 8.86102819e-05 -3.70064168e-03  2.79376753e+00]
 [-5.52106387e-05  5.09534074e-05  9.96791859e-01]]","[[ 5.13147741e+02  3.19319644e+01  6.53052693e+02]
 [ 3.24905173e+01 -2.58160978e+02  7.70578445e+02]
 [ 2.67615668e-02  1.49651761e-02  1.00000000e+00]]",4,"[[ 2.31624054e-03  7.42476876e-05 -1.64567962e+00]
 [ 2.06996278e-04 -4.26895178e-03  3.04621169e+00]
 [ 5.56456379e-05 -1.07768330e-04  1.04228448e+00]]","[[ 4.16142293e+02 -1.00941152e+01  6.86555077e+02]
 [ 4.66921839e+00 -2.53022675e+02  7.46863914e+02]
 [-2.17342865e-02 -2.56226952e-02  1.00000000e+00]]"
8,24119.353748,"[[ 2.01346262e-03  1.64009921e-04 -1.44090936e+00]
 [ 8.80720064e-05 -3.70032865e-03  2.79413802e+00]
 [-5.58804767e-05  4.96105209e-05  9.98250255e-01]]","[[ 5.13397818e+02  3.15083443e+01  6.52863403e+02]
 [ 3.26936831e+01 -2.58465109e+02  7.70644252e+02]
 [ 2.71144074e-02  1.46088517e-02  1.00000000e+00]]",4,"[[ 2.31672318e-03  7.28688350e-05 -1.64462424e+00]
 [ 2.06806099e-04 -4.26865266e-03  3.04631100e+00]
 [ 5.53651860e-05 -1.08842238e-04  1.04329177e+00]]","[[ 4.16168678e+02 -1.03975589e+01  6.86399835e+02]
 [ 4.75543527e+00 -2.53229293e+02  7.46901404e+02]
 [-2.15890365e-02 -2.58665707e-02  1.00000000e+00]]"
9,24119.397265,"[[ 2.01344122e-03  1.65519262e-04 -1.44154575e+00]
 [ 8.88799232e-05 -3.69928779e-03  2.79284335e+00]
 [-5.48973354e-05  5.26388028e-05  9.95260499e-01]]","[[ 5.13032545e+02  3.22411508e+01  6.52608442e+02]
 [ 3.23968934e+01 -2.57906867e+02  7.70647568e+02]
 [ 2.65847846e-02  1.54189401e-02  1.00000000e+00]]",4,"[[ 2.31701485e-03  7.42540107e-05 -1.64539982e+00]
 [ 2.07790164e-04 -4.26825750e-03  3.04533513e+00]
 [ 5.64973760e-05 -1.05909327e-04  1.04033406e+00]]","[[ 4.15736037e+02 -9.79442377e+00  6.86201992e+02]
 [ 4.45406758e+00 -2.52742938e+02  7.46890542e+02]
 [-2.21239204e-02 -2.51981321e-02  1.00000000e+00]]"
